I need the update query to sort properly the top  : see sample data for from the ==> rbd -->


sh-5.1$ rbd du -p "$POOL"                                                        
warning: fast-diff map is not enabled for csi-snap-25ae561d-8e68-488c-b5ad-1158f69daae2. operation may be slow.

NAME                                                                                         PROVISIONED  USED    
csi-vol-3689592c-790b-4407-8881-ed497b480d80                                                       2 GiB   200 MiB
csi-vol-368e10c3-17fb-4253-9952-5b0b7255d8fa                                                     500 MiB    60 MiB
csi-vol-37219b96-fabf-11ed-b1d1-0a58af0023ce                                                       5 GiB   176 MiB
csi-vol-3730c00a-9f7e-4d65-8629-882da1d71d49                                                      10 GiB   7.9 GiB
csi-vol-3762f4ca-ff3b-11ed-b1d1-0a58af0023ce                                                      32 GiB   132 MiB
csi-vol-3773c0eb-5d03-4b0e-8b01-2c835c434e1e                                                       2 GiB    44 MiB
csi-vol-37855a64-ff3b-11ed-b1d1-0a58af0023ce                                                      32 GiB   120 MiB
csi-vol-380b9282-7ae7-4911-9f56-365192078c8a                                                       2 GiB   212 MiB
csi-vol-388532b2-3ad9-11ee-8b69-0a58af020996                                                       1 GiB    28 MiB
csi-vol-38f495ef-3df0-4550-b82e-33207ac75cf3                                                       2 GiB   140 MiB
csi-vol-3921fe4c-18b7-48ea-9193-64578ac0e631                                                       1 GiB    28 MiB
csi-vol-395d59b7-5b16-11ee-8441-0a58af020216                                                     100 MiB    56 MiB
csi-vol-3a6f658a-e457-11ed-87ee-0a58af011c1e                                                       2 GiB    64 MiB
csi-vol-3ab3c2d7-0a9d-41bc-b2c3-6e522571f09a                                                       1 GiB    28 MiB
csi-vol-3ada5700-10f5-497c-a824-2c4ec7b1153d                                                       1 GiB    28 MiB
csi-vol-3b51047f-dfc3-4134-8ae4-6c1e41aac6a7                                                      10 GiB   5.2 GiB
csi-vol-3b60adaf-84f6-43ae-ad3c-0a0e178360d0                                                       1 GiB   116 MiB
csi-vol-3c1a2b8e-5dff-42f1-b9e3-34df7de56f1c                                                       1 GiB   144 MiB
csi-vol-3c6d3fe8-24f2-11ee-908c-0a58af0023ce                                                       1 GiB    56 MiB
csi-vol-3c92980f-6de9-4a1b-8934-4f8f4ac7b73e                                                       1 GiB    28 MiB
csi-vol-3d2d1a31-ffe6-4c77-9150-c6ee62907387                                                       2 GiB   112 MiB
csi-vol-3d7e0d0d-2c07-4452-9c18-f7706e4bd820                                                       1 GiB   340 MiB
csi-vol-3e89b5dc-72b6-42ed-9295-967f9c93a8ea                                                       1 GiB    56 MiB
csi-vol-3ea2896a-9dc5-4c6d-b453-5ad6df71c3e0                                                       1 GiB       0 B
csi-vol-3fc6c02c-b27c-4148-af75-c45cd771a443                                                      10 GiB   196 MiB
csi-vol-40e4667b-025e-47be-98d0-2e299ef54c8f                                                      10 GiB   1.3 GiB
csi-vol-40fb14bb-eb0f-47f8-a043-d210bedd1eaf                                                      30 GiB   200 MiB
csi-vol-4103dca4-49c8-4c0a-9c28-9b405ae5390a                                                       1 GiB    28 MiB
csi-vol-416c942c-7837-4436-b2b3-d3c49428e78e                                                      10 GiB   5.3 GiB
csi-vol-41d87725-96d7-4c1e-9fb2-f4be4d9c17fd                                                      16 GiB   1.8 GiB
csi-vol-41df9b6b-2274-11ee-908c-0a58af0023ce                                                      10 GiB    92 MiB
csi-vol-43221c92-3d6f-47e2-a0fb-3744312f13a5                                                       2 GiB   780 MiB
csi-vol-43d98602-5f7b-4eb5-928d-daa548963faa                                                       1 GiB    28 MiB
csi-vol-4407c80d-fabf-11ed-b1d1-0a58af0023ce                                                       5 GiB   192 MiB
csi-vol-44c661b1-417e-4431-bef0-4405a71e6feb                                                       4 GiB   180 MiB
csi-vol-44dba811-e0eb-46cc-9b80-f79658f3f0f7                                                       1 GiB    28 MiB
csi-vol-44eeb355-49e9-43af-8446-80858b226e19                                                      10 GiB   3.4 GiB
csi-vol-4502210b-afa3-40bd-accd-0521858243a9                                                       1 GiB    28 MiB
csi-vol-45873685-b41a-47de-97f8-eecb28fa692f                                                      10 GiB   236 MiB
csi-vol-45cb72da-ceba-4465-9723-1b4c6880b969                                                       1 GiB    28 MiB
csi-vol-46390263-1f56-43c7-8a73-a16251e38bb6                                                       1 GiB    76 MiB
csi-vol-466a90b6-db23-40a6-afbe-c6058fc1cefc                                                       1 GiB   128 MiB
csi-vol-4697c2a7-955e-43e3-af7c-2b9c64f5e0d5                                                       1 GiB    68 MiB
csi-vol-46ea24be-4138-498c-a936-421888c49969                                                       1 GiB    28 MiB
csi-vol-4703ff42-68bd-4af6-a21e-6b2dbd001eaf                                                       1 GiB    28 MiB
csi-vol-48672442-ccab-4772-b98c-b88c06f59707                                                       1 GiB   104 MiB
csi-vol-491531c8-36d8-11ee-ad5c-0a58af02020d                                                       1 GiB    28 MiB
csi-vol-4916735f-ed27-4116-8918-b8403533aabb                                                       1 GiB    28 MiB
csi-vol-493a9d84-1e19-47f3-831d-3e2af072e95f                                                       1 GiB   428 MiB
csi-vol-499f85ca-5413-11ee-8441-0a58af020216                                                       1 GiB    28 MiB
csi-vol-49c4cc48-1c16-4206-9b66-b3cbaf6fdbff                                                       1 GiB    28 MiB
csi-vol-49c8207b-3991-42d0-928b-5fc12dcb172d                                                       3 GiB   1.7 GiB
csi-vol-49e122e7-979b-48fb-8dbf-5deb5a24056b                                                      10 GiB   1.9 GiB
csi-vol-49e9289f-3e43-4c87-b9e4-eced64b9365d                                                       8 GiB   172 MiB
csi-vol-4a0e2ad9-453f-41a5-9a43-31022ce1c980                                                       1 GiB   164 MiB
csi-vol-4a39f64b-9bdf-46f7-816f-00dffd27871b                                                      10 GiB   9.3 GiB
csi-vol-4a47abb0-6761-4e8a-ac1c-0e76cb003add                                                       2 GiB   1.5 GiB
csi-vol-4a62fe95-1e9f-4cc3-aa95-9e668a5425a1                                                       1 GiB       0 B
